amount,path length,time,found
25,20,0.00695976,1.15854
26,20,0.00786447,1.09195
27,20,0.00720194,1.03261
28,20,0.00846963,0.979381
29,20,0.00808171,0.931373
30,20,0.00801138,0.88785
31,20,0.00690671,0.848214
32,20,0.00703475,0.811966
33,20,0.00699366,0.778689
34,20,0.00696293,0.748031
35,20,0.00785112,0.719697
36,20,0.00706086,0.693431
amount,path length,time,found
1,0,0.000103878,0
2,0,0.000113415,0
3,0,9.8964e-05,0
4,0,9.1971e-05,0
5,5,0.000673256,7.2
6,8,0.000803681,5.53846
7,1,0.000560907,3.71429
8,3,0.000822467,3.52941
9,15,0.00197526,3.75
10,8,0.00198927,4
11,17,0.00302804,3.57895
12,14,0.00375908,3.5493
13,12,0.00381649,3.37349
14,13,0.00446149,3.20833
15,20,0.00682056,2.89655
16,12,0.00586006,3.375
17,17,0.00779784,3.22759
18,14,0.00842537,3.16981
19,15,0.0112947,2.85057
20,9,0.0100084,3.38798
21,27,0.011781,3.86667
22,12,0.015441,3.74775
23,29,0.017019,3.8247
24,44,0.0191974,3.45763
25,15,0.0173731,3.6129
26,15,0.0201737,3.64308
27,18,0.0202881,3.98834
28,37,0.0248871,3.89474
29,50,0.0293021,3.71163
30,17,0.0294989,3.46309
31,38,0.0302435,3.79381
32,47,0.0399976,3.69925
33,48,0.0367153,3.55862
34,49,0.0370399,3.49762
35,63,0.0422862,3.47977
36,51,0.0449381,3.28937
